Index,Questions
1535,"The data on the root volumes of store-backed and EBS-backed instances get deleted by default when they are terminated. If you want to prevent that from happening, which instance would you use? And ensure if the EC2 instance is restarted, the data or configuration in the EC2 instance should not be lost."
1536,You have an application running on an EC2 instance. You need to reduce the load on your instance as soon as the CPU utilization reaches 80 percent. How will you accomplish the job?
1537,Watch this Video on AWS Training
1538,"In AWS, three different storage services are available, such as EFS, S3, and EBS. When should I use Amazon EFS vs. Amazon S3 vs. Amazon Elastic Block Store (EBS)?"
1539,"A company's web application is using multiple Linux Amazon EC2 instances and storing data on Amazon EBS volumes. The company is looking for a solution to increase the resiliency of the application in case of a failure and to provide storage that complies with atomicity, consistency, isolation, and durability (ACID). What should a solutions architect do to meet these requirements?"
1540,"An application running on AWS uses an Amazon Aurora Multi-AZ deployment for its database. When evaluating performance metrics, a solutions architect discovered that the database reads are causing high I/O and adding latency to the write requests against the database. What should the solutions architect do to separate the read requests from the write requests?"
1541,A client reports that they wanted to see an audit log of any changes made to AWS resources in their account. What can the client do to achieve this?
1542,"Usually, you have noticed that one EBS volume can be connected with one EC2 instance, our company wants to run a business-critical application on multiple instances in a single region and need to store all instances output in single storage within the VPC. Instead of using EFS, our company is recommending the use of multi-attach volume with instances. As an architect, you need to suggest them what instance type and EBS volumes they should use."
1543,"A company is using a VPC peering connection option to connect its multiple VPCs in a single region to allow for cross VPC communication. A recent increase in account creations and VPCs has made it difficult to maintain the VPC peering strategy, and the company expects to grow to hundreds of VPCs. There are also new requests to create site-to-site VPNs with some of the VPCs. A solutions architect has been tasked with creating a centrally networking setup for multiple accounts and VPNs. Which networking solution would you recommend to resolve it?"
1544,"An organization has multiple facilities in various continents such as North America, Europe, and the Asia Pacific. The organization is designing a new distributed application to manage and optimize its global supply chain and its manufacturing process. It needs to design the process in such a way that the booked order in one continent should be able to support data failover with a short Recovery Time Objective (RTO). The uptime of the application should not impact manufacturing, what kind of solution would you recommend as a solution architect?"
1545,Check out this video on DevOps Interview Questions:
1546,What is DevOps?
1547,How does HTTP work?
1548,"In terms of development and infrastructure, mention the core operations of DevOps."
1549,What are some technical and business benefits of DevOps work culture?
1550,Name some of the most important DevOps tools?
1551,What is CI? What is its purpose?
1552,Name three important DevOps KPIs.
1553,What is the difference between continuous deployment and continuous delivery?
1554,What is DevOps? Is it a tool?
1555,What are the core operations of DevOps in terms of development and infrastructure?
1556,"Our team has some ideas and wants to turn those ideas into a software application. Now, as a manager, I am confused about whether I should follow the Agile work culture or DevOps. Can you tell me why I should follow DevOps over Agile?"
1557,Can one consider DevOps as an Agile methodology?
1558,Can you tell me the advantages of using Git?
1559,Are git fetch and git pull the same?
1560,What are the benefits of using version control?
1561,How do you handle the merge conflicts in Git?
1562,Can you tell me some advantages of Forking Workflow over other Git workflows?
1563,When do you use ‘git rebase’ instead of ‘git merge’?
1564,"I just made a bad git commit and made it public, and I need to revert the commit. Can you suggest me how to do that?"
1565,Can you tell me how to squash the last n commits into a single commit? Is it even possible?
1566,"I want to move or copy Jenkins from one server to another. Is it possible? If yes, how?"
1567,"Can you tell me, what Continuous Testing and Automation Testing are?"
1568,How to launch a browser using WebDriver?
1569,Are there any technical challenges with Selenium? 
1570,When should I use Selenium Grid?
1571,Describe the difference between driver.close() and driver.quit().
1572,I have 40 jobs in the Jenkins dashboard and I need to build them all at once. Is it possible?
1573,How will you secure Jenkins?
1574,Can you please tell me how to create a backup and copy files in Jenkins?
1575,What is Jenkins Pipeline and CI/CD Pipeline?
1576,What are Puppet Manifests?
1577,How can I configure systems with Puppet?
1578,What is a Puppet Module? How is it different from the Puppet Manifest?
1579,Can you tell me what a Puppet codedir is?
1580,Where do you find codedir in Puppet?
1581,How does Ansible work?
1582,"Sometimes, we use ad-hoc commands instead of Playbooks in Ansible. Can you tell me what’s the difference between Ansible Playbook and an ad-hoc command? Also, cite when to use them."
1583,Why should I use Ansible?
1584,What are handlers in Ansible?
1585,Have you heard about Ansible Galaxy? What does it do?
1586,Can you write the syntax for building a docker image?
1587,What is the concept of sudo in Linux?
1588,Can you tell me the purpose of SSH?
1589,What is NRPE in Nagios?
1590,Can you tell me why I should use Nagios?
1591,What is Nagios Log Server?
1592,Can you tell me why I should use Nagios for HTTP monitoring?
1593,What is a namespace in Kubernetes?
1594,What is kubectl?
1595,What are the testing types supported by Selenium?
1596,What are the prerequisites to install Ansible 2.8 on Linux?
1597,What is the role of configuration management in DevOps?
1598,What is the role of AWS in DevOps?
1599,Which file is used to define dependency in Maven?
1600,What are the benefits of using the version control system (VCS)?
1601,What are the benefits of Ansible?
1602,Explain the different Selenium components.
1603,What are the advantages of Docker over virtual machines?
1604,Why are SSL certificates used in Chef?
1605,How can Docker containers be shared with different nodes?
1606,Watch this Cloud Computing Interview Questions and Answers video: 
1607,Compare between Cloud and On-premise Computing.
1608,What is a Cloud?
1609,What is Cloud Computing?
1610,What are some of the key features of Cloud Computing?
1611,What are the benefits of Cloud Computing?
1612,Mention the layers of PaaS architecture.
1613,What are the cloud service models?
1614,Write about Function as a Service.
1615,What are the components of Windows Azure?
1616,Which are the main constituents of the cloud ecosystem?
1617,Who are the cloud consumers in a cloud ecosystem?
1618,Who are the direct consumers in a cloud ecosystem?
1619,Who are the Cloud service providers in a cloud ecosystem?
1620,What are the differences occurred in distributed operations?
1621,Which agent is equivalent of Nova Compute?
1622,Mention the reliability and availability of Cloud Computing.
1623,Explain the Cloud Computing Architecture. 
1624,What are the Cloud Storage Levels?
1625,What are the serverless components in cloud computing with their advantages and disadvantages?
1626,Give the best example for the open-source Cloud Computing.
1627,What are microservices and their importance in the cloud?
1628,What is an AMI? How do we implement it?
1629,Why Hybrid Clouds are so important?
1630,List the platforms that are used for large-scale Cloud Computing.
1631,Mention the different types of models used for the deployment in Cloud Computing.
1632,Explain security management in terms of Cloud Computing.
1633,Which are the layers of Cloud Computing?
1634,Explain the full form and the usage of 'Eucalyptus' in Cloud Computing.
1635,Mention the names of some large cloud providers and databases.
1636,Explain the difference between cloud and traditional data centers.
1637,What is meant by Edge Computing?
1638,What are the uses of APIs in cloud services?
1639,Mention different data center deployments of Cloud Computing.
1640,List down the three basic functioning clouds in Cloud Computing.
1641,What are the characteristics of cloud architecture that differ from traditional cloud architecture?
1642,What are the building blocks of cloud architecture?
1643,Explain AWS.
1644,Mention the key components of AWS.
1645,Explain how you can vertically scale an Amazon instance.
1646,Explain the security usage in the Amazon Web Services model.
1647,"Watch this Cloud Computing Full Course video:
"
1648,What are reasons that make Amazon so big?
1649,How does Resource Replication take place in Cloud Computing?
1650,What is Containers as a Service (CaaS)?
1651,Check this video on Blockchain Interview Questions And Answers:
1652,What is Blockchain technology?
1653,What is Blockchain Wallet and How Does It Work?
1654,What Is Ethereum (ETH)?
1655,What is the difference between Bitcoin blockchain and Ethereum?
1656,What are Smart Contracts and how do they work?
1657,What Is Cryptocurrency Mining and how Bitcoin mining works?
1658,What is a Blockchain Explorer?
1659,What Is Hashing in Blockchain?
1660,What are the different types of Blockchain?
1661,What are the benefits of Blockchain Technology?
1662,Name some popular Blockchain Platforms for Blockchain Applications?
1663,What is the difference between Blockchain and Hyperledger?
1664,What are some of the popular Cryptocurrencies?
1665,What is a ledger? What is the difference between a distributed ledger and a traditional ledger?
1666,What is a 51% Attack?
1667,Compare Blockchain with relational database
1668,What do you mean by blocks in Blockchain technology?
1669,How does a block is recognized in the Blockchain approach?
1670,Are there any network-specific conditions for using Blockchain technology in an organization?
1671,Is it possible to modify the data once it is written in a block?
1672,What type of records can be kept in Blockchain? Is there any restriction on the same?
1673,How Does Blockchain Create Blocks?
1674,Can Anyone Remove Blocks from A Blockchain?
1675,What is encryption? What is its role in Blockchain?
1676,What exactly do you know about the security of a block?
1677,Why is Blockchain a trusted approach?
1678,What is Secret Sharing? Does it have any benefit in Blockchain technology?
1679,What are Blockchain Durability and robustness?
1680,How does Bitcoin use Blockchain?
1681,Is Blockchain an incorruptible ledger?
1682,What are blockchain requirements?
1683,In what order are the blocks linked in the blockchain?
1684,What are Block Identifiers?
1685,Name the common type of ledgers that can be considered by users in Blockchain?
1686,How is a blockchain ledger different from an ordinary ledger?
1687,What is Double Spending? Is it possible to double spend in a Blockchain system?
1688,Explain the significance of blind signature and how it is useful?
1689,Can you define what is an off-chain transaction?
1690,"when it comes to securing the transactions records, How will you handle risk management when it comes to securing the transactions records?"
1691,What are the threats to the information you are familiar with?
1692,What are the key principles in Blockchain that are helpful in eliminating the security threats that need to be followed?
1693,Can you name some of the popular consensus algorithms?
1694,What Is the Difference Between Proof-Of-Stake (Pos) And Proof-Of-Work (Pow)?
1695,Name the steps that are involved in the Blockchain project implementation?
1696,What is a Public Key?
1697,What is a Private Key?
1698,What Are the Drawbacks of Blockchain?
1699,How Can You Stop Double Spending?
1700,What is Transparent and incorruptible in blockchain?
1701,What Is Consensus Algorithm?
1702,What Do You Think About the Future of Blockchain?
1703,What are the Merkle trees? 
1704,What do you mean by Coinbase transaction?
1705,What is Azure Cloud Service?
1706,Differentiate between Microsoft Azure and AWS.
1707,What is Azure DevOps?
1708,What is Azure Active Directory (Azure AD)?
1709,What is Azure Data Factory?
1710,What is Azure Databricks?
1711,What is Azure Data Lake?
1712,What are Azure resources?
1713,What are the roles implemented in Windows Azure?
1714,What are the three principal segments of the Windows Azure platform?
1715,Define Windows Azure AppFabric.
1716,What is the distinction between Windows Azure Queues and Windows Azure Service Bus Queues?
1717,What is table storage in Windows Azure?
1718,What is autoscaling in Azure?
1719,What are the features of Windows Azure?
1720,What are the differences between a public cloud and a private cloud?
1721,"What is IaaS, PaaS, and SaaS?"
1722,Is it possible to get a public DNS or IP address for the Azure Internal Load Balancer?
1723,What is Azure Resource Manager?
1724,What is NSG?
1725,What is Azure Redis Cache?
1726,Define Azure storage key
1727,What is CSPack in Azure?
1728,Why is Azure Diagnostics API necessary?
1729,What are the deployment environment options provided by Azure?
1730,What is Azure Blob Storage?
1731,What is a role instance in Azure?
1732,What is Windows Azure Portal?
1733,Explain Azure Fabric.
1734,What do you comprehend about Hybrid Cloud?
1735,What is a storage key?
1736,What is Windows Azure Traffic Manager?
1737,What is federation in SQL Azure?
1738,What is SQL Azure database?
1739,What are the different types of Storage areas in Windows Azure?
1740,What is the concept of the table in Windows Azure?
1741,How to secure Azure functions?
1742,What is Conditional Access in Azure?
1743,When should you use a static IP address in Azure?
1744,How does Azure Site Recovery work?
1745,Why should you use Azure CDN?
1746,Explain the benefits of Traffic Manager.
1747,What is the difference between a library and a list?
1748,How many services are there in Azure?
1749,How many types of backups are there in Azure?
1750,How can you have a common file-sharing system among multiple virtual machines?
1751,What is the TFS build system in Azure?
1752,What is Azure App Service?
1753,What is profiling in Azure?
1754,What is cmdlet in Azure?
1755,What is Windows Azure Scheduler?
1756,How can you create an HDInsight Cluster in Azure?
1757,What is Text Analytics API in Azure Machine?
1758,What is the Migration Assistant tool in Azure Websites?
1759,What is the distinction between Public Cloud and Private Cloud?
1760,What is Azure Service Level Agreement (SLA)?
1761,How to add an administrator to the Azure portal?
1762,How to connect to Azure Database from SQL Management Studio?
1763,How to create a virtual machine on Azure?
1764,How to deploy SQL Database in Azure?
1765,How to export users from Azure Active Directory?
1766,How to create a resource group in Azure?
1767,What are the differences between Azure Scale Sets and Availability Sets?
1768,What are the different storage services available in Azure apart from Blob storage?
1769,What is the difference between Azure Table Storage and the Azure SQL service?
1770,Create a Virtual Machine with Azure CLI.
1771,How will you execute code with the help of Azure if there is no server?
1772,What will you do in case of a drive failure?
1773,What could be the reason for the client application to be disconnected from the cache?
1774,How can you stop the high load issue on an application in cases of no man support on the flow?
1775,What would happen if tone reaches the maximum failed attempts for Azure ID authentication?
1776,"If you have an application running on the on-premise server and Azure East US region has a backup, will you be able to access the application via the Azure environment in case of an on-premise server application access failure?"
1777,"In case the front-end hosting of an application is done on Azure, if the user needs the database hosting to be done on an on-premise server due to security concerns, how will you handle the Azure connectivity?"
1778,You have an Azure subscription that contains an Azure Log Analytics workspace. You have a resource group that contains 100 virtual machines. The virtual machines run Linux. You need to collect events from the virtual machines to the log analytics workspace. Which type of data source should be configured in the workspace?
1779,You create a container image named Image1 on a developer workstation. You plan to create an Azure web app for containers named WebAppContainer that will use Image1. You need to upload Image1 to Azure. The solution must ensure that WebAppContainer can use Image1. To which storage type should you upload Image1?
1780,You have an Azure subscription that contains 100 virtual machines. You have a set of Pester tests in PowerShell that validate the virtual machine environment. You need to run the tests whenever there is an operating system update on the virtual machines. The solution must minimize implementation time and recurring costs. Which three resources should you use to implement the tests?
1781,You have an Azure App Service app. You need to implement tracing for the app. The tracing information must include the following:	
1782,You have an Azure virtual machine named VM1 and an Azure Active Directory (Azure AD) tenant named adatum.com. VM1 has the following settings:
1783,You are designing an Azure solution. The solution must meet the following requirements: 
1784,You have an Azure Cosmos DB account named Account1. Account1 includes a database named DB1 that contains a container named Container1. The partition key for Container1 is set to /city. You plan to change the partition key for Container1. What should you do first?
1785,"You have an Azure subscription that contains a resource group named RG1. RG1 contains multiple resources. You need to trigger an alert when the resources in RG1 consume US$1,000. What should you do?"
1786,You have an Azure Kubernetes Service (AKS) cluster named Clus1 in a resource group named RG1. An administrator plans to manage Clus1 from an Azure AD-joined device. You need to ensure that the administrator can deploy the YAML application manifest file for a container application. You install the Azure CLI on the device. Which command should you run next?
1787,Your company has the groups shown in the following table. 
1788,Your company has an office in Seattle. You have an Azure subscription that contains a virtual network named VNET1. You create a site-to-site VPN between the Seattle office and VNET1. VNET1 contains the subnets shown in the following table. 
1789,You have an Azure web app named App1 that is configured to run between two and five instances. There are currently three instances of App1 running. App1 has the following autoscale rules: Increase the instance count by one when the CPU percentage is greater or equal to 80. Decrease the instance count by one when the CPU percentage is less than or equal to 60. You are evaluating the following CPU percentage of utilization for App1:
1790,You have an on-premises network that contains a Hyper-V host named Host1. Host1 runs Windows Server 2016 and hosts 10 virtual machines that run Windows Server 2016. You plan to replicate the virtual machines to Azure by using Azure Site Recovery. You create a Recovery Services vault named ASR1 and a Hyper-V site named Site1. You need to add Host1 to ASR1. What should you do?
1791,You have an Azure subscription named Subscription1 that contains a virtual network named VNet1. VNet1 is in a resource group named RG1. Subscription1 has a user named User1. User1 has the following roles:
1792,A company hosts virtual machines (VMs) in an on-premises data center and in Azure. The on-premises and Azure-based VMs communicate using ExpressRoute. The company wants to be able to continue regular operations if the ExpressRoute connection fails. Failover connections must use the internet and must not require multiprotocol label switching (MPLS) support. You need to recommend a solution that provides continued operations. What should you recommend?
1793,You have a resource group named RG1. RG1 contains an Azure Storage account named storageaccount1 and a virtual machine named VM1 that runs Windows Server 2016. storageaccount1 contains the disk files for VM1. You apply a ReadOnly lock to RG1. What can you do from the Azure portal? 
1794,What is Chef?
1795,Explain the major components of Chef?
1796,What is a Chef resource and what are its functions?
1797,What are Chef Resources and its functions?
1798,What is a Chef Node and what is its importance?
1799,What is the difference between a Cookbook and a Recipe in Chef?
1800,What is the difference between a Cookbook and a Recipe in Chef?
1801,How does a Chef Repository work?
1802,Why are SSL certificates used in Chef?
1803,What is the significance of a Signed Header?
1804,Explain therun-list in Chef?
1805,What is the importance of Chef starter kit?
1806,What is the process for updating a Chef Cookbook?
1807,What is the process for bootstrapping in Chef and the information needed?
1808,Explain your understanding of Test Kitchen in Chef?
1809,What is Docker?
1810,Define Containerization.
1811,What is the benefit of using a Docker over a Hypervisor?
1812,What are the unique features of Docker over other containerization technologies?
1813,What is a Docker image?
1814,What is a Docker container?
1815,What is a Docker Hub?
1816,What is a Docker Swarm?
1817,What is the use of a Dockerfile?
1818,What is Docker Compose?
1819,Why use Docker?
1820,What are the drawbacks of Docker?
1821,What is Docker Engine?
1822,What are registries?
1823,What are Docker namespaces?
1824,How to use Docker?
1825,Is it possible to use JSON instead of YAML for Docker Compose?
1826,What is the process for creating a Docker container?
1827,What is the process for stopping and restarting a Docker container?
1828,How to create a Docker image?
1829,How to stop a Docker container?
1830,How to remove Docker images?
1831,Where are Docker images stored?
1832,How to run a Docker image?
1833,How to start a Docker container?
1834,How to use Docker Compose?
1835,What command should be run to view all the running Docker containers?
1836,What is Docker daemon?
1837,Name and explain the states of a Docker container.
1838,What is Docker Hub?
1839,Define Virtualization.
1840,What is a Hypervisor?
1841,What are Docker object labels?
1842,What are the steps in a Docker container life cycle?
1843,Name the three components of the Docker architecture.
1844,How do you scale your Docker containers?
1845,How does communication happen between Docker client and Docker daemon?
1846,Explain the implementation method of continuous integration (CI) and continuous deployment (CD) in Docker.
1847,How to run a Docker container?
1848,Tell us how you have used Docker in your past position.
1849,Watch this Git Tutorial Video
1850,What are Git and GitHub?
1851,What is the difference between Git and GitHub?
1852,What is a Git repository? Name some popular Git hosting services.
1853,What is a version control system? Mention its types.
1854,What are the main differences between Git and SVN?
1855,What are the advantages of using GIT?
1856,What language is used in GIT?
1857,What are the advantages of Git over SVN?
1858,What is Git Bash?
1859,What is the meaning of “Index” or “Staging Area” in GIT?
1860,What is tagging in Git?
1861,What is forking in Git?
1862,What is the use of a Git clone?
1863,What is the function of ‘git config’?
1864,What is the process for creating a repository in Git?
1865,What is cherry-pick in Git?
1866,What is origin in Git?
1867,What is the git push command?
1868,What is the git pull command?
1869,What is the difference between git fetch and git pull?
1870,Explain git checkout in Git.
1871,What does git rebase do?
1872,What is the difference between git rebase and git merge?
1873,What is revert in Git?
1874,What is the difference between resetting and reverting?
1875,What is the difference between ‘git remote’ and ‘git clone’?
1876,What is GIT stash?
1877,"How are fork, branch, and clone different from each other?"
1878,What is the difference between git reflog and log?
1879,What is GIT stash drop?
1880,How to identify if a certain branch has been merged into master?
1881,Why do we need branching in GIT?
1882,What are the constituents of the commit object contain?
1883,"What is HEAD in Git, and how many HEADs can be created in a repository?"
1884,What is the regular way for branching in GIT?
1885,State a way to create a new branch in Git.
1886,How do you define a ‘conflict’ in git?
1887,How to resolve a conflict in Git?
1888,What is Jenkins?
1889,What is Jenkins used for?
1890,Which architecture is recommended for a scalable Jenkins environment?
1891,How to add a user in Jenkins?
1892,What is Jenkins Pipeline?
1893,What is Jenkinsfile?
1894,What is continuous integration in Jenkins?
1895,How to change port for Jenkins?
1896,What are the software prerequisites that must be met before Jenkins is installed?
1897,How to configure and use third-party tools in Jenkins?
1898,How to set up a Jenkins job?
1899,How to take a backup of your Jenkins build jobs?
1900,What are the steps included in a Jenkins pipeline?
1901,What is the process for creating a backup and copy files in Jenkins?
1902,State some of the advantages of using Jenkins.
1903,What are the requirements for using Jenkins?
1904,What are some of the useful plugins in Jenkins?
1905,How will you create Pipeline in Jenkins?
1906,How to configure Docker in Jenkins?
1907,When can you use the GitHub plugin in Jenkins?
1908,How to integrate Git with Jenkins?
1909,Name some of the SCM tools that are supported by Jenkins.
1910,Name two ways a Jenkins node agent can be configured to communicate back with the Jenkins master.
1911,How to turn off Jenkins Security if the administrative users have locked out of the admin console?
1912,What is the process for securing Jenkins?
1913,What is the relation between Hudson and Jenkins?
1914,"If there is a broken build in your Jenkins project, then what will you do?"
1915,"From one server to another, how do you copy or move your Jenkins jobs?"
1916,How to schedule builds in Jenkins?
1917,How to configure Jenkins with Maven?
1918,How to create a slave node in Jenkins?
1919,How to deploy from Jenkins?
1920,What is Kubernetes?
1921,What are the benefits of Kubernetes?
1922,What is a Kubernetes cluster?
1923,What is Kubernetes used for?
1924,How does Kubernetes work?
1925,What is the difference between Kubernetes and Docker Swarm?
1926,What is orchestration in software?
1927,What is a Kubernetes namespace?
1928,What are federated clusters?
1929,What is a pod in Kubernetes?
1930,What is a node in Kubernetes?
1931,What is a Heapster?
1932,What is a container cluster?
1933,What is a kubelet?
1934,How to write a Kubernetes scheduler?
1935,What are the ways to provide API Security on Kubernetes?
1936,"If an organization is looking for ways to improve its deployment methods and desires a more scalable and responsive platform, what should be done?"
1937,"If an organization has a large distributed system with several data centers, virtual machines, and a huge number of employees working on various tasks, how can the tasks be managed with consistency with the help of Kubernetes?"
1938,What is the difference between a replica set and a replication controller?
1939,How does Kubernetes scale?
1940,What is a Kubernetes context?
1941,Give examples of some recommended security measures for Kubernetes.
1942,What is a Headless Service?
1943,What is Minikube?
1944,What is Kubectl?
1945,What is GKE?
1946,What is kube-proxy?
1947,What are the components of a Kubernetes Master?
1948,What is the use of kube-controller-manager?
1949,What is load balancing on Kubernetes?
1950,What does a kube-scheduler do?
1951,Where is the Kubernetes cluster data stored?
1952,How to set a static IP for Kubernetes load balancer?
1953,Explain the Kubernetes architecture.
1954,What do I need on-premises to run the Kubernetes architecture?
1955,What is Puppet?
1956,What is Manifests?
1957,What is the difference between a Module and a Manifest?
1958,What is Facter?
1959,What is Puppet Kick?
1960,What is MCollective?
1961,is it possible to manage Workstations with Puppet?
1962,Does Puppet run on Windows?
1963,What type of organizations can use Puppet?
1964,Can Puppet run on servers that are unique?
1965,What is Puppet Labs?
1966,How to upgrade Puppet and Facter?
1967,What are the characters permitted in a class and module name?
1968,How are the variables like $ operating system set?
1969,What is cloud computing?
1970,What is cloud?
1971,What are the main features of cloud services?
1972,What is Google Cloud Platform?
1973,What are the advantages of using cloud computing?
1974,Mention platforms that are used for large-scale cloud computing?
1975,What are the different models for deployment in cloud computing?
1976,How can a user gain from utility computing?
1977,"When you are transferring data, how do you ensure that it is secure?"
1978,Describe the security aspects that the cloud offers?
1979,What are system integrators in Cloud Computing?
1980,What are the various components of the Google Cloud Platform?
1981,What are the main advantages of using Google Cloud Platform?
1982,How does cloud computing provide on-demand functionality?
1983,What are the various layers in the cloud architecture?
1984,What are the libraries and tools for cloud storage on GCP?
1985,What is “EUCALYPTUS” in the context of cloud computing?
1986,What is Google Compute Engine?
1987,What are the different methods for the authentication of Google Compute Engine API?
1988,Why do you need the virtualization platform to implement the cloud?
1989,What are some of the popular open-source cloud computing platforms?
1990,Check out this video on Google Cloud Platform Tutorial
1991,Explain what are the different modes of software as a service (SaaS)?
1992,What is the benefit of API in the cloud domain?
1993,Mention what is the difference between elasticity and scalability in cloud computing?
1994,What are the service accounts? How will you create one?
1995,What are projects in the context of Google Cloud?
1996,"Suppose you have deleted your instance by mistake. Will you be able to retrieve it back? If yes, how?"
1997,What is Google BigQuery? What are the benefits of BigQuery for data warehouse practitioners?
1998,What do you know about Google Cloud SDK?
1999,What are the Google Cloud APIs? How can you access them?
2000,Why do we need Azure Data Factory?
2001,What is Azure Data Factory?
2002,What is the integration runtime?
2003,What is the limit on the number of integration runtimes?
2004,What is the difference between Azure Data Lake and Azure Data Warehouse?
2005,What is blob storage in Azure?
2006,What is the difference between Azure Data Lake store and Blob storage?
2007,What are the steps for creating ETL process in Azure Data Factory?
2008,What is the difference between HDinsight & Azure Data Lake Analytics?
2009,What are the top-level concepts of Azure Data Factory?
2010,How can I schedule a pipeline?
2011,Can I pass parameters to a pipeline run?
2012,Can I define default values for the pipeline parameters?
2013,Can an activity in a pipeline consume arguments that are passed to a pipeline run?
2014,Can an activity output property be consumed in another activity?
2015,How do I gracefully handle null values in an activity output?
2016,Which Data Factory version do I use to create data flows?
2017,What has changed from private preview to limited public preview in regard to data flows?
2018,How do I access data by using the other 80 dataset types in Data Factory?
2019,Explain the two levels of security in ADLS Gen2?
2020,What is AWS in DevOps? 
2021,DevOps and Cloud computing: What is the need?
2022,Why use AWS for DevOps?
2023,What does a DevOps Engineer do?
2024,What is CodePipeline in AWS DevOps?
2025,What is CodeBuild in AWS DevOps?
2026,What is CodeDeploy in AWS DevOps?
2027,What is CodeStar in AWS DevOps?
2028,How can you handle continuous integration and deployment in AWS DevOps?
2029,How can a company like Amazon.com make use of AWS DevOps?
2030,Name one example instance of making use of AWS DevOps effectively.
2031,What is the use of Amazon Elastic Container Service (ECS) in AWS DevOps?
2032,What is AWS Lambda in AWS DevOps?
2033,What is AWS CodeCommit in AWS DevOps?
2034,Explain Amazon EC2 in brief.
2035,What is Amazon S3 in AWS DevOps?
2036,What is the function of Amazon RDS in AWS DevOps?
2037,How is CodeBuild used to automate the release process?
2038,Can you explain a build project in brief?
2039,How is a build project configured in AWS DevOps?
2040,Which source repositories can be used with CodeBuild in AWS DevOps?
2041,Which programming frameworks can be used with AWS CodeBuild?
2042,Explain the build process using CodeBuild in AWS DevOps.
2043,Can AWS CodeBuild be used with Jenkins in AWS DevOps?
2044,How can one view the previous build results in AWS CodeBuild?
2045,Are there any third-party integrations that can be used with AWS CodeStar?
2046,Can AWS CodeStar be used to manage an existing AWS application?
2047,Why is AWS DevOps so important today?
2048,What are Microservices in AWS DevOps?
2049,What is CloudFormation in AWS DevOps?
2050,What is VPC in AWS DevOps?
2051,What is AWS IoT in AWS DevOps?
2052,What is EBS in AWS DevOps?
2053,What does AMI stand for?
2054,Why is a buffer used in AWS DevOps?
2055,What is the biggest advantage of adopting an AWS DevOps model?
2056,What is meant by Infrastructure as Code (IaC)?
2057,What are some of the challenges that arise when creating a DevOps pipeline?
2058,What is a hybrid cloud in AWS DevOps?
2059,How is AWS Elastic Beanstalk different from CloudFormation?
2060,What is the use of Amazon QuickSight in AWS DevOps?
2061,How do Kubernetes containers communicate in AWS DevOps?
2062,Have you earned any sort of certification to boost your opportunities as an AWS DevOps Engineer?
2063,Do you have any experience working in the same industry as ours before?
2064,Why are you applying for the AWS DevOps role in our company?
2065,What is your plan after joining for this AWS DevOps role?
2066,How is it beneficial to make use of version control?
2067,What are the future trends in AWS DevOps?
2068,Has your college degree helped you with Data Analysis in any way?
2069,What skills should a successful AWS DevOps specialist possess?
2070,What is DevOps?
2071,Why use DevOps?
2072,How does DevOps work?
2073,What is Azure DevOps?
2074,What are the benefits of DevOps?
2075,Name a few DevOps tools.
2076,What are the popular DevOps tools for Continuous Integration and Continuous Deployment?
2077,What are Azure Boards?
2078,What is Azure Repos?
2079,What are containers?
2080,What containers does Azure DevOps support?
2081,What are Azure Pipelines?
2082,What is the use of Selenium in DevOps?
2083,What are Azure Test Plans?
2084,What are some important features of Memcached?
2085,What is the Dogpile effect and how can you prevent it?
2086,What is Continuous Testing? What is the use of Test Automation in DevOps?
2087,What is Forking Workflow?
2088,What are some of the useful plugins in Jenkins.
2089,Can we move or copy Jenkins from one server to another?
2090,What are Azure DevOps Projects?
2091,What is the difference between Azure DevOps Services and Azure DevOps Server?
2092,What are the different DevOps solution architectures?
2093,What are the reasons to use CI and CD and Azure pipelines?
2094,What should you do to make a NuGet package available to anonymous users outside your organization alongside minimizing the number of publication points?
2095,How can you enable communication between members of the development team working in different locations around the world using Azure DevOps?
2096,Which feature can be used for the development of a multi-tier application using Azure App Service web apps as the front end and Azure SQL database as the back end? 
2097,What can you do to improve the quality of code if there are many unused variables and empty catch blocks?
2098,What are the necessary components for the integration of Azure DevOps and Bitbucket?
2099,Explain Pair Programming with reference to DevOps.
2100,What is Ansible?
2101,What is the use of Ansible?
2102,What are the features of Ansible?
2103,What are the advantages of Ansible?
2104,What is Ansible Galaxy?
2105,What is CI/CD?
2106,What is configuration management?
2107,What are Ansible server requirements?
2108,What are Ansible tasks?
2109,Explain a few of the basic terminologies or concepts in Ansible
2110,What is a playbook?
2111,State the differences between variable names and environment variables
2112,Where are tags used?
2113,Which protocol does Ansible use to communicate with Linux and Windows?
2114,What are ad hoc commands? Give an example
2115,Compare Ansible with Chef
2116,What is a YAML file and how do we use it in Ansible?
2117,Code difference between JSON and YAML:
2118,How is Ansible different from Puppet?
2119,Explain how you can disable cowsay?
2120,What is Ansible-doc?
2121,What is the code you need to write for accessing a variable name?
2122,What is the method to check the inventory vars defined for the host?
2123,Explain Ansible facts
2124,When should you test playbooks and roles?
2125,Discuss the method to create an empty file with Ansible
2126,Explain Ansible modules in detail
2127,What are callback plug-ins in Ansible?
2128,What is Ansible inventory and its types?
2129,What is an Ansible vault?
2130,How do we write an Ansible handler with multiple tasks?
2131,How to generate encrypted passwords for a user module?
